category2,neg,neu,pos,volume_total,pos_rate,neg_rate
Moisturizers,47817.0,87537.0,390936.0,526290.0,0.7428147979250983,0.09085675198084706
Treatments,29787.0,57043.0,254812.0,341642.0,0.7458450658876836,0.08718775794545167
Cleansers,26006.0,40736.0,192891.0,259633.0,0.7429371458943971,0.10016446291496073
Mini Size,13024.0,21015.0,91607.0,125646.0,0.7290880728395651,0.10365630421979212
Eye Care,10136.0,21741.0,81068.0,112945.0,0.7177652839877816,0.08974279516578866
Masks,9464.0,14545.0,75330.0,99339.0,0.7583124452631896,0.09526973293469836
Lip Balms & Treatments,9726.0,13717.0,57588.0,81031.0,0.7106909701225457,0.12002813737952142
Sunscreen,8361.0,11898.0,50747.0,71006.0,0.7146860828662367,0.11775061262428527
Value & Gift Sets,1757.0,3079.0,11768.0,16604.0,0.7087448807516261,0.10581787521079258
Self Tanners,2528.0,2681.0,10169.0,15378.0,0.661269345818702,0.1643906879958382
Wellness,1066.0,1886.0,6167.0,9119.0,0.6762802938918742,0.11689878276126768
High Tech Tools,672.0,782.0,4655.0,6109.0,0.7619905058110984,0.11000163692912097
Shop by Concern,1.0,12.0,16.0,29.0,0.5517241379310345,0.034482758620689655
