aspect_a,aspect_b,pair,co_neg_count
{'unnest': fragrance},{'unnest': texture},{'unnest': fragrance} + {'unnest': texture},4560
{'unnest': price},{'unnest': texture},{'unnest': price} + {'unnest': texture},3875
{'unnest': hydration},{'unnest': texture},{'unnest': hydration} + {'unnest': texture},3040
{'unnest': ingredients},{'unnest': texture},{'unnest': ingredients} + {'unnest': texture},2800
{'unnest': packaging},{'unnest': texture},{'unnest': packaging} + {'unnest': texture},2590
{'unnest': application},{'unnest': texture},{'unnest': application} + {'unnest': texture},2049
{'unnest': fragrance},{'unnest': price},{'unnest': fragrance} + {'unnest': price},1937
{'unnest': effectiveness},{'unnest': texture},{'unnest': effectiveness} + {'unnest': texture},1927
{'unnest': packaging},{'unnest': price},{'unnest': packaging} + {'unnest': price},1920
{'unnest': effectiveness},{'unnest': price},{'unnest': effectiveness} + {'unnest': price},1673
{'unnest': fragrance},{'unnest': ingredients},{'unnest': fragrance} + {'unnest': ingredients},1642
{'unnest': irritation},{'unnest': texture},{'unnest': irritation} + {'unnest': texture},1575
{'unnest': fragrance},{'unnest': packaging},{'unnest': fragrance} + {'unnest': packaging},1414
{'unnest': hydration},{'unnest': price},{'unnest': hydration} + {'unnest': price},1407
{'unnest': ingredients},{'unnest': price},{'unnest': ingredients} + {'unnest': price},1266
{'unnest': fragrance},{'unnest': hydration},{'unnest': fragrance} + {'unnest': hydration},1265
{'unnest': ingredients},{'unnest': packaging},{'unnest': ingredients} + {'unnest': packaging},1074
{'unnest': effectiveness},{'unnest': fragrance},{'unnest': effectiveness} + {'unnest': fragrance},1066
{'unnest': finish},{'unnest': texture},{'unnest': finish} + {'unnest': texture},1013
{'unnest': hydration},{'unnest': ingredients},{'unnest': hydration} + {'unnest': ingredients},976
{'unnest': effectiveness},{'unnest': packaging},{'unnest': effectiveness} + {'unnest': packaging},854
{'unnest': application},{'unnest': fragrance},{'unnest': application} + {'unnest': fragrance},798
{'unnest': hydration},{'unnest': packaging},{'unnest': hydration} + {'unnest': packaging},776
{'unnest': fragrance},{'unnest': irritation},{'unnest': fragrance} + {'unnest': irritation},762
{'unnest': application},{'unnest': price},{'unnest': application} + {'unnest': price},750
{'unnest': effectiveness},{'unnest': hydration},{'unnest': effectiveness} + {'unnest': hydration},705
{'unnest': application},{'unnest': hydration},{'unnest': application} + {'unnest': hydration},671
{'unnest': irritation},{'unnest': price},{'unnest': irritation} + {'unnest': price},666
{'unnest': effectiveness},{'unnest': ingredients},{'unnest': effectiveness} + {'unnest': ingredients},644
{'unnest': ingredients},{'unnest': irritation},{'unnest': ingredients} + {'unnest': irritation},627
{'unnest': application},{'unnest': packaging},{'unnest': application} + {'unnest': packaging},543
{'unnest': hydration},{'unnest': irritation},{'unnest': hydration} + {'unnest': irritation},543
{'unnest': effectiveness},{'unnest': irritation},{'unnest': effectiveness} + {'unnest': irritation},506
{'unnest': application},{'unnest': ingredients},{'unnest': application} + {'unnest': ingredients},480
{'unnest': application},{'unnest': effectiveness},{'unnest': application} + {'unnest': effectiveness},462
{'unnest': finish},{'unnest': price},{'unnest': finish} + {'unnest': price},417
{'unnest': irritation},{'unnest': packaging},{'unnest': irritation} + {'unnest': packaging},409
{'unnest': finish},{'unnest': fragrance},{'unnest': finish} + {'unnest': fragrance},385
{'unnest': finish},{'unnest': packaging},{'unnest': finish} + {'unnest': packaging},375
{'unnest': application},{'unnest': irritation},{'unnest': application} + {'unnest': irritation},375
{'unnest': finish},{'unnest': hydration},{'unnest': finish} + {'unnest': hydration},362
{'unnest': application},{'unnest': finish},{'unnest': application} + {'unnest': finish},258
{'unnest': finish},{'unnest': ingredients},{'unnest': finish} + {'unnest': ingredients},247
{'unnest': effectiveness},{'unnest': finish},{'unnest': effectiveness} + {'unnest': finish},202
{'unnest': finish},{'unnest': irritation},{'unnest': finish} + {'unnest': irritation},148
{'unnest': longevity},{'unnest': texture},{'unnest': longevity} + {'unnest': texture},120
{'unnest': longevity},{'unnest': price},{'unnest': longevity} + {'unnest': price},87
{'unnest': hydration},{'unnest': longevity},{'unnest': hydration} + {'unnest': longevity},75
{'unnest': fragrance},{'unnest': longevity},{'unnest': fragrance} + {'unnest': longevity},54
{'unnest': effectiveness},{'unnest': longevity},{'unnest': effectiveness} + {'unnest': longevity},51
