category2,aspect_norm,neg,neu,pos,volume_total,pos_rate,neg_rate,impact_score
Cleansers,sillage,0.0,14.0,40.0,54.0,0.7407407407407407,0.0,2.9683949520240525
Cleansers,longevity,14.0,54.0,317.0,385.0,0.8233766233766234,0.03636363636363636,4.687321358306088
Cleansers,finish,279.0,477.0,2359.0,3115.0,0.7573033707865169,0.08956661316211878,5.371478409804343
Cleansers,packaging,2601.0,4596.0,14393.0,21590.0,0.6666512274201019,0.1204724409448819,5.450881679451337
Cleansers,irritation,1532.0,1261.0,8745.0,11538.0,0.7579303172126886,0.1327786444791125,5.847348594822078
Cleansers,fragrance,4134.0,7338.0,24245.0,35717.0,0.6788084105607973,0.11574320351653275,5.9028434460434305
Cleansers,price,2535.0,3913.0,15678.0,22126.0,0.7085781433607521,0.1145710928319624,5.94277553098996
Cleansers,hydration,1489.0,2615.0,13536.0,17640.0,0.7673469387755102,0.08441043083900227,6.677740210621871
Cleansers,texture,7525.0,12379.0,55060.0,74964.0,0.7344858865588816,0.10038151646123472,7.117679906164562
Cleansers,ingredients,4260.0,4998.0,33142.0,42400.0,0.7816509433962264,0.10047169811320755,7.257915286248352
Eye Care,sillage,3.0,8.0,5.0,16.0,0.3125,0.1875,0.354151668007027
Eye Care,irritation,655.0,518.0,1950.0,3123.0,0.6243996157540826,0.20973422990714058,3.336758250622047
Eye Care,longevity,33.0,105.0,269.0,407.0,0.6609336609336609,0.08108108108108109,3.4856487792613806
Eye Care,finish,133.0,261.0,770.0,1164.0,0.6615120274914089,0.11426116838487972,3.8638517569947357
Eye Care,price,1470.0,2072.0,5311.0,8853.0,0.5999096351519259,0.16604540833615725,3.9432290906647354
Eye Care,packaging,1167.0,2008.0,5561.0,8736.0,0.6365613553113553,0.13358516483516483,4.564670967530887
Eye Care,ingredients,643.0,953.0,3762.0,5358.0,0.7021276595744681,0.12000746547219111,4.998394064231885
Eye Care,fragrance,436.0,1527.0,4378.0,6341.0,0.6904273773852705,0.06875887084056143,5.44267635262537
Eye Care,hydration,1144.0,2878.0,9188.0,13210.0,0.6955336866010599,0.0866010598031794,5.778043011597386
Eye Care,effectiveness,1066.0,2549.0,9833.0,13448.0,0.7311867935752528,0.07926829268292683,6.197567557091319
