product_id,product_name,brand_name,loves
P500618,Turmeric Glow Foaming Cleanser,KORA Organics,9992
P440500,Super Collagen Mask,Mario Badescu,9986
P474970,Hyaluronic Acid + Peptide Lip Treatment Booster,Paula's Choice,9969
P408241,Plantscription Youth-Renewing Power Night Cream,Origins,9952
P503726,B3 Nice 10% Niacinamide Serum,Sunday Riley,9940
P444470,De-Puffing Rose Quartz Eye Treatment Tool,Mount Lai,9940
P455929,Cleansing Serum,Shani Darden Skin Care,9931
P504053,Capture Dreamskin 1-Minute Mask,Dior,993
P444614,Express Ultra Dark Mousse,Isle of Paradise,9912
P504203,Clarifying Cleanse + Hydrate Duo,Tatcha,9900
