_c0,author_id,rating,is_recommended,helpfulness,total_feedback_count,total_neg_feedback_count,total_pos_feedback_count,submission_time,review_text,review_title,skin_tone,eye_color,skin_type,hair_color,product_id,product_name,brand_name,price_usd,review_text_clean,review_id,updated_at
3859,1044838748,5,1.0,1.0,4,0,4,2021-01-09,I’ve been using this for a while (on my third little jar) and It’s amazing. I actually use it during the day instead of my usual lip balm too. I highly recommend this for anyone with very dry and chapped lips.,Highly recommend!,fairLight,,dry,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0,i’ve been using this for a while (on my third little jar) and it’s amazing. i actually use it during the day instead of my usual lip balm too. i highly recommend this for anyone with very dry and chapped lips.,000041e3e854040c842233441cba1c6e282ab365,
84457,2121580725,5,1.0,,0,0,0,2018-09-22,Smells GreatDoesn’t Dry My Skin OutLeaves my face feeling super cleanPackaging is Good. I’ve had for about a month and I am nowhere near running out.,Holy Grail,deep,brown,combination,black,P441644,Mini Superfood Antioxidant Cleanser,Youth To The People,14.0,smells greatdoesn’t dry my skin outleaves my face feeling super cleanpackaging is good. i’ve had for about a month and i am nowhere near running out.,000056a314aeca6a6fcb9e1702a8100cea6476ae,
309394,1548850296,4,1.0,,0,0,0,2022-08-02,After trying out product in the AM & PM I noticed that I only like using this particular product in the PM. I found that using this any applying makeup did not mesh well for my skin. I have noticed after 14 days of use my skin feels plumper and more hydrated. I did receive this product free from Bzzagent.,,fair,brown,dry,brown,P411403,Confidence in a Cream Anti-Aging Hydrating Moisturizer,IT Cosmetics,20.0,after trying out product in the am & pm i noticed that i only like using this particular product in the pm. i found that using this any applying makeup did not mesh well for my skin. i have noticed after 14 days of use my skin feels plumper and more hydrated. i did receive this product free from bzzagent.,00005ce8a5c78866ca2af91f4be055cebfddf2c2,
21994,5685181025,4,1.0,1.0,6,0,6,2021-10-15,"I love this. I have dry skin. It is the perfect light texture and not greasy and not sticky. There is so residue left on after (you know how some gum/residue off then you rub your face?) This has no residue at all, as it absorbs into the skin. The smell is not strong at all like ome say... very light honey scent and fades instantly. I love it so much. I had a sample then bought the full one because it truly is wonderful. I like it used over the purple honey balm. If you have oiler skin you may only want this one as the balm is thick. Perfect and will always buy.",PERFECT texture. No residue. Love it!,fair,blue,dry,brown,P475629,Honey Whip Peptide and Collagen Moisturizer,Wishful,43.0,"i love this. i have dry skin. it is the perfect light texture and not greasy and not sticky. there is so residue left on after (you know how some gum/residue off then you rub your face?) this has no residue at all, as it absorbs into the skin. the smell is not strong at all like ome say... very light honey scent and fades instantly. i love it so much. i had a sample then bought the full one because it truly is wonderful. i like it used over the purple honey balm. if you have oiler skin you may only want this one as the balm is thick. perfect and will always buy.",000061d6de0c28d313756a3807c4e788d8981594,
64128,2333897218,4,1.0,,0,0,0,2022-07-22,"I really enjoyed this makeup removing balm, it is pretty thick, but I warmed it up in my hands and added a bit of water and applied it to my face. I have very dry skin and this left my skin hydrated which is wonderful for a cleanser! It had a very light scent, but it didn’t last at all which is nice! It did a good job of removing my tinted sunscreen. I would recommend if you are looking for a good cleanser!",Community six-six makeup melting balm,fair,blue,dry,blonde,P500098,Makeup Melting Balm Cleanser,Community Sixty-Six,16.0,"i really enjoyed this makeup removing balm, it is pretty thick, but i warmed it up in my hands and added a bit of water and applied it to my face. i have very dry skin and this left my skin hydrated which is wonderful for a cleanser! it had a very light scent, but it didn’t last at all which is nice! it did a good job of removing my tinted sunscreen. i would recommend if you are looking for a good cleanser!",0000e8289ebe2f3a795f434b581c41f89e648beb,
17521,1487462926,2,0.0,,0,0,0,2019-10-13,Strong scent and doesn’t completely remove tinted moisturizer or foundation. Super slimy texture which I liked. Wish it was better at makeup removal though. Already Have dry skin but my skin felt tight after using this. Returned. Got a sample of the Korres Greek yoghurt cream cleanser which I’m currently using and liking. Removes makeup too.,doesn’t remove makeup well,lightMedium,blue,combination,blonde,P7880,Soy Hydrating Gentle Face Cleanser,fresh,39.0,strong scent and doesn’t completely remove tinted moisturizer or foundation. super slimy texture which i liked. wish it was better at makeup removal though. already have dry skin but my skin felt tight after using this. returned. got a sample of the korres greek yoghurt cream cleanser which i’m currently using and liking. removes makeup too.,000136f3a54afa77abd694c24d53ba297b43391e,
88497,20163188032,5,1.0,1.0,2,0,2,2022-04-08,"This double eye serum is a miracle for dark or puffy undereyes! I love that the two formulas swirl into a nourishing milky essence, and this stuff works—my dark circles are no match for the plant essences in this eye serum, it impressively effective. Speaking from experience this is a total must have for all sleep deprived moms (or dads) out there! I actually look awake again after using this serum regularly.",,lightMedium,brown,combination,blonde,P475921,Double Serum Eye Firming & Hydrating Anti-Aging Concentrate,Clarins,82.0,"this double eye serum is a miracle for dark or puffy undereyes! i love that the two formulas swirl into a nourishing milky essence, and this stuff works—my dark circles are no match for the plant essences in this eye serum, it impressively effective. speaking from experience this is a total must have for all sleep deprived moms (or dads) out there! i actually look awake again after using this serum regularly.",00016ef74fe8242234ef301a08b1e9051e41cff0,
162035,11849258408,5,1.0,1.0,1,0,1,2020-08-10,One of my favorites! Love how smooth it is. It leaves my face very moisturized.,Love it!,lightMedium,brown,combination,brown,P418218,The Water Cream Oil-Free Pore Minimizing Moisturizer,Tatcha,70.0,one of my favorites! love how smooth it is. it leaves my face very moisturized.,00017655b8a04f4c60274bdb96baf694a89a117e,
92388,2364661230,5,1.0,,0,0,0,2023-03-06,this cream works really well for me.  When I put it on in the evening I woke up with radiant and glowing skin!  I also like how lightweight and hydrating this is.  I’m really impressed with the results and can’t wait to try more!  Gifted by dermalogica,,light,brown,combination,black,P505139,Phyto Nature Oxygen Cream,Dermalogica,125.0,this cream works really well for me. when i put it on in the evening i woke up with radiant and glowing skin! i also like how lightweight and hydrating this is. i’m really impressed with the results and can’t wait to try more! gifted by dermalogica,0001fc9671f6b8a272707efefaaa2aceee4fb415,
71650,5261685822,5,1.0,,0,0,0,2020-02-13,"I am not big on skincare and was sent this for free for review. i used it at night, and a little went a long way and i would have the most lovely smooth skin in the morning. i chronically have dry skin on the sides of my nose and mouth and it was gone in the morning. light scent and not too harsh for daily use on my sensitive skin!",,fair,brown,combination,brown,P453224,Squalane + 10% Lactic Acid Resurfacing Serum,Biossance,65.0,"i am not big on skincare and was sent this for free for review. i used it at night, and a little went a long way and i would have the most lovely smooth skin in the morning. i chronically have dry skin on the sides of my nose and mouth and it was gone in the morning. light scent and not too harsh for daily use on my sensitive skin!",0002d156db24e39dd2e08627240041df67e77492,
